Species,Family,Order,Class,Phylum,Kingdom
Homo_sapiens,Hominidae,Primates,Mammalia,Chordata,Animalia
Gorilla_gorilla,Hominidae,Primates,Mammalia,Chordata,Animalia
Ochotona_princeps,Ochotonidae,Lagomorpha,Mammalia,Chordata,Animalia
Odobenus_rosmarus,Odobenidae,Carnivora,Mammalia,Chordata,Animalia
Tauraco_erythrolophus,Musophagidae,Cuculiformes,Aves,Chordata,Animalia
Astyanax_mexicanus,Characidae,Characiformes,Actinopterygii,Chordata,Animalia
Mus_musculus,Muridae,Rodentia,Actinopterygii,Chordata,Animalia
Ovis_aries,Bovidae,Artiodactyla,Actinopterygii,Chordata,Animalia
Colius_striatus,Coliidae,Coliiformes,Aves,Chordata,Animalia
GJVJKFF_JHFJHL,Coliidae,Coliiformes,Aves,Chordata,Animalia
