Species,PSMB4,RAB7A
Pan_paniscus, gi|397492787|ref|XM_003817254.1|, gi|397518562|ref|XM_003829406.1|
Jaculus_jaculus, gi|507567145|ref|XM_004667153.1|, gi|507562960|ref|XM_004665109.1|
Trichechus_manatus, gi|471416151|ref|XM_004389543.1|, gi|471355689|ref|XM_004368391.1|
Balaenoptera, gi|594659635|ref|XM_007178051.1|, gi|594662077|ref|XM_007179178.1|
Sorex_araneus, gi|505849386|ref|XM_004618092.1|, gi|505839316|ref|XM_004613130.1|
Condylura_cristata, gi|507979958|ref|XM_004693683.1|, gi|507976347|ref|XM_004692332.1|
Loxodonta_africana, gi|344275427|ref|XM_003409466.1|, gi|344275956|ref|XM_003409729.1|
Papio_anubis, gi|281182897|ref|NM_001168954.1|, gi|402887162|ref|XM_003906925.1|
Canis_lupus, gi|545528916|ref|XM_533057.5|, gi|545532319|ref|XM_005632015.1|
Pan_troglodytes, gi|410033638|ref|XM_003949544.1|, gi|525344582|ref|NM_001280271.1|
Odobenus_rosmarus, gi|472369606|ref|XM_004404262.1|, gi|472352154|ref|XM_004395698.1|
Homo_sapiens, gi|34782942|gb|BC010098.2|, gi|40807361|ref|NM_004637.5|
Panthera_tigris_altaica, gi|591324273|ref|XM_007088126.1|, gi|591334562|ref|XM_007092911.1|
Dasypus_novemcinctus, gi|488519678|ref|XM_004451725.1|, gi|488581132|ref|XM_004475945.1|
Spermophilus_tridecemlineatus, gi|532091163|ref|XM_005331215.1|
Orycteropus, gi|634875540|ref|XM_007950638.1|
Chrysochloris_asiatica, gi|586461660|ref|XM_006861416.1|, gi|586480038|ref|XM_006870483.1|
Tupaia, gi|562881789|ref|XM_006168412.1|
Gorilla_gorilla, gi|426331441|ref|XM_004026641.1|, gi|426342009|ref|XM_004036261.1|
Heterocephalus_glaber, gi|512984302|ref|XM_004854066.1|, gi|512864833|ref|XM_004890719.1|
Macaca_fascicularis, gi|55824565|gb|AY650296.1|, gi|544471835|ref|XM_005571763.1|
Erinaceus_europaeus, gi|617636956|ref|XM_007530650.1|, gi|617641236|ref|XM_007531622.1|
Leptonychotes_weddellii, gi|585152026|ref|XM_006728375.1|, gi|585181652|ref|XM_006742402.1|
Tursiops_truncatus, gi|470651494|ref|XM_004328926.1|, gi|470603577|ref|XM_004313050.1|
Saimiri_boliviensis, gi|403302686|ref|XM_003941936.1|, gi|403268247|ref|XM_003926141.1|
Pongo_abelii, gi|395729856|ref|XM_003775577.1|, gi|197098409|ref|NM_001133944.1|
Mustela_putorius, gi|512007917|ref|XM_004821320.1|, gi|511827877|ref|XM_004738629.1|
Felis, gi|586996737|ref|XM_003990621.2|, gi|586978561|ref|XM_003982545.2|
Callithrix_jacchus, gi|390476672|ref|XM_002759918.2|, gi|296225984|ref|XM_002758677.1|
Macaca_mulatta, gi|388454841|ref|NM_001265704.1|, gi|297263160|ref|XM_001095709.2|
Orcinus_orca, gi|466084343|ref|XM_004285205.1|, gi|466080727|ref|XM_004284340.1|
Peromyscus_maniculatus, gi|589964627|ref|XM_006994792.1|, gi|589965832|ref|XM_006995385.1|
